label,scale,score,scenario_name,scenario_type,log_name,num_executed_points,executed_path_length_m,expert_path_length_m,path_length_delta_m,avg_error_to_expert_m,max_error_to_expert_m,endpoint_error_to_expert_m,end_x_m,end_y_m,final_plan_path_length_m
baseline,0,1.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,7.162477452410475,5.331288012690202,1.8312569848021507,1.3881777267233557,1.964642888695869,1.964642888695869,-1.2823168067261577,-7.039897167123854,11.725316256611942
scale_0.5_weight_3.0,0.5,0.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,17.10469312197341,5.331288012690202,11.773472654365083,7.971425023701819,11.878946549755069,11.878946549755069,-3.6635294356383383,-16.664661298505962,6.349972154744027
scale_0.5_weight_1.0,0.5,1.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,7.302278281297905,5.331288012690202,1.9710578136895807,1.4693740305827994,2.103018565050403,2.103018565050403,-1.3013176744570956,-7.178142417687923,11.958199608188517
